"waterbody","date","dateNUTR","year","town","latitude","longitude","state","data_source","mult_survey","off_season","surfacearea_ha","surfaceaarea_sqm","perimeter_m","shoreline_development","depth_max_m","depth_avg_m","forested_shoreline_prop","inflow","outflow","FP_presence","FPcover_avg","FPcover_max","FPcover_min","azolla","eichhornia_crassipes","lemna_minor","lemna_trisulca","lemna_valdiviana","riccia","spirodela_polyrhiza","wolffia","wolffia_borealis","wolffia_brasiliensis","allplant_species_richness","FP_species_richness","nonFP_species_richness","regime","azolla_cover_prop","lminor_cover_prop","lvaldiviana_cover_prop","ltrisulca_cover_prop","riccia_cover_prop","spolyrhiza_cover_prop","wolffia_cover_prop","wbrasiliensis_cover_prop","wborealis_cover_prop","TOTP_n","TOTP_avg","TOTP_SE","PO4_n","PO4_avg","PO4_SE","TOTN_n","TOTN_avg","TOTN_SE","NO3_n","NO3_avg","NO3_SE","NH4_n","NH4_avg","NH4_SE","totNtotP_n","totNtotP_avg","totNtotP_SE","PH_n","PH_avg","PH_SE","COND_n","COND_avg","COND_SE","DO_n","DO_avg","DO_SE","TEMP_n","TEMP_avg","TEMP_SE","ALK_n","ALK_avg","ALK_SE","secchi_n","secchi_avg","secchi_SE","notes","alisma","alisma_subcordatum","brasenia","cabomba","callitriche","callitriche_verna","callitriche_hetero","callitriche_stag","cardamine","ceratophyllum_dem","ceratophyllum_echin","charphyte","decodon","egeria","elatine","elatine_ameri","elatine_minima","elatine_triandra","eleocharis","eleocharis_acic","eleocharis_ellip","ellocharis_parv","elodea_canad","elodea_nutt","eriocaulon_aqua","fil_algae","glossostigma","gratiola","hydrilla","isoetes","isoetes_acad","isoetes_eaton","isoetes_echino","isoetes_engel","isoetes_lacus","isoetes_tuck","juncus","juncus_pelo","lobelia","ludwigia","ludwigia_dub","ludwigia_lac","ludwigia_pal","marsilea","megalodonta","myosotis","myriophyllum","myriophyllum_alt","myriophyllum_aqua","myriophyllum_hetero","myriophyllum_hetero_lax","myriophyllum_hum","myriophyllum_ten","myriophyllum_sibi","myriophyllum_spic","najas_flex","najas_grac","najas_guad","najas_minor","nasturtium","nelumbo","nuphar","nymphaea_odor","nymphaea_odor_odor","nymphaea_odor_tuber","nymphoides","nymphoides_cordata","nymphoides_pelt","peltandra","phragmites","polygonum","polygonum_amphi","polygonum_hydro","pontederia","potamogeton","potamogeton_ampli","potamogeton_berch","potamogeton_biculp","potamogeton_conferv","potamogeton_crispus","potamogeton_epi","potamogeton_foli","potamogeton_frie","potamogeton_grami","potamogeton_ilino","potamogeton_ilino_hybrid","potamogeton_natans","potamogeton_nodos","potamogeton_oakes","potamogeton_palus","potamogeton_perfo","potamogeton_pulch","potamogeton_pusil","potamogeton_prael","potamogeton_rich","potamogeton_robb","potamogeton_spir","potamogeton_vase","potamogeton_zost","proserpinaca","ranunculus","sagittaria","sagittaria_gram","sagittaria_lati","schoenoplectus","sparganium","sparganium_ameri","stuckenia","trapa","typha","typha_latif","sedge","utricularia","utricularia_gemi","utricularia_gibb","utricularia_inter","utricularia_macro","utricularia_mini","utricularia_mino","utricularia_purp","utricularia_radi","utricularia_subu","utricularia_vulg","vallisneria","zannichellia","zosterella"
"Canoe Brook Lake","combined","8/30/2012","comb","Trumbull",41.2513,73.239,"CT","CAES","Y","N",25.78,267898.52,4146.86,2.26,6,NA,0.8937,NA,NA,"Y",3e-04,3e-04,3e-04,0,0,1,0,0,0,0,0,0,0,17,1,16,"SAV ",0,0.00028,0,0,0,0,0,0,0,2,0.0507,0.0422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6.75,0.2,2,153,9,2,7.35,2.35,2,24.6,0.6,2,27.1,22.4,2,3.05,0.55,"",1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Chase Reservoir","8/8/2005","8/8/2005","2005","Killingly",41.8468,71.838,"CT","CAES","N","N",28.77,293733.271,3404.65,1.772,3,NA,0.9542,NA,NA,"Y",5e-04,5e-04,5e-04,0,0,1,0,0,0,1,0,0,1,22,3,19,"SAV",0,0.00016,0,0,0,0.00022,0,1e-04,0,2,0.0215,0.0035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6.25,0.05,2,67.5,0.5,1,7.3,NA,1,28.1,NA,2,10.88,0.375,1,2.7,NA,"",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
"Crescent Lake","7/27/2005","7/27/2005","2005","Enfield",42.0252,72.5222,"CT","CAES","N","N",14.16,121355.319,2541.42,2.058,2.5,NA,0.6705,NA,NA,"Y",2e-04,2e-04,2e-04,0,0,1,0,0,0,0,0,0,0,7,1,6,"SAV",0,0.00021,0,0,0,0,0,0,0,2,0.164,0.101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5.9,0.1,2,152.5,5.5,1,7.1,NA,1,32.4,NA,2,27,1.5,1,1,NA,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Crystal Lake (2)","7/22/2005","7/22/2005","2005","Old Saybrook",41.3011,72.414,"CT","CAES","N","N",2.23,22134.207,1038.66,1.969,1.2,NA,1,NA,NA,"Y",0.093,0.093,0.093,0,0,1,0,0,0,0,0,0,0,25,1,24,"SAV",0,0.09304,0,0,0,0,0,0,0,2,0.0425,0.0075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6.1,0.1,2,101.15,4.85,1,5.4,NA,1,24.8,NA,2,30.8,1.5,1,0.6,NA,"",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
"Crystal Lake (3)","8/25/2005","8/25/2005","2005","Ellington, Stafford",41.9361,72.3739,"CT","CAES","N","N",75.84,726566.341,4601.91,1.523,12,NA,0.3402,NA,NA,"Y",0.01,0.01,0.01,0,0,1,0,0,0,1,0,0,0,6,2,4,"SAV",0,0.005,0,0,0,0.005,0,0,0,2,0.055,0.034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,7.05,0.15,2,147,40,1,6.78,NA,1,25.5,NA,2,60,0.75,1,2.9,NA,"",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"Dividend Pond, Lower","6/20/2012","6/20/2012","2012","Rocky Hill",41.6462,72.6326,"CT","CAES","N","N",0.53,4943.3,393.87,1.58,1,NA,1,NA,NA,"Y",0.0635,0.0635,0.0635,0,0,1,0,0,0,0,0,0,0,3,1,2,"neither",0,0.0635,0,0,0,0,0,0,0,2,0.0521,0.0231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,7.55,0.05,2,355.5,5.5,1,7,NA,1,19.3,NA,2,69.75,0.75,1,1,NA,"",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dividend Pond, Upper","6/20/2012","6/20/2012","2012","Rocky Hill",41.6458,72.6343,"CT","CAES","N","N",2.35,22804.07,860.98,1.608,1,NA,0.7695,NA,NA,"Y",0.0292,0.0292,0.0292,0,0,1,0,0,0,0,0,0,0,7,1,6,"SAV",0,0.0292,0,0,0,0,0,0,0,2,0.1733,0.1084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,7.4,0,2,331,1,1,9.5,NA,1,17.9,NA,2,69.4,0.4,1,0.9,NA,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Doaneville Pond","7/7/2011","7/7/2011","2011","Griswold",41.5639,71.8731,"CT","CAES","N","N",27.68,273480.61,2890.44,1.559,2,NA,0.9293,NA,NA,"Y",2e-04,2e-04,2e-04,0,0,1,0,0,0,1,1,0,0,21,3,18,"SAV",0,5e-05,0,0,0,8e-05,6e-05,0,0,2,0.0515,0.0015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6.05,0.05,2,58.1,3.4,1,6,NA,1,25.3,NA,2,6.7,0,1,1,NA,"",0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Dunlop Pond (Unnamed Lake with Dam #3036)","9/1/2005","9/1/2005","2005","Darien",41.0792,73.4607,"CT","CAES","N","N",2.99,30079.171,882.2,1.435,4,NA,1,NA,NA,"Y",0.1859,0.2478,0.1239,0,0,1,0,0,0,0,0,0,1,6,2,4,"SAV",0,0.06185,0,0,0,0,0,0.06205,0,2,0.0975,0.0095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6.6,0.2,2,487.5,112.5,1,5.5,NA,1,27.5,NA,2,73.5,16.5,1,1.4,NA,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Echo Lake","9/7/2005","9/7/2005","2005","Watertown",41.6014,73.0978,"CT","CAES","N","N",4.33,43197.645,1035.57,1.406,2,NA,0.8892,NA,NA,"Y",0.008,0.008,0.008,0,0,1,0,0,0,0,0,0,0,6,1,5,"SAV",0,0.00804,0,0,0,0,0,0,0,2,0.048,0.005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6.45,0.05,2,193.5,1.5,1,6.3,NA,1,24.1,NA,2,26.25,0.75,1,1.2,NA,"",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
